CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
6636	14209	9	0.9025	-54.046
14176	14209	9	0.8389	-68.062
2013	8959	9	0.7782	42.047
6652	6691	9	0.8408	-26.015
6652	8816	9	0.8831	-30.047
8751	14249	9	0.8105	30.047
6814	14249	9	0.8715	14.015
6653	8816	9	0.8438	-56.063
6636	6653	9	0.9173	28.031
6636	6838	9	0.8889	-14.016
1874	14353	9	0.8425	0.036
14234	14249	9	0.763	58.078
6691	14209	9	0.8571	-30.047
8986	14268	9	0.8297	-28.031
6838	14317	9	0.8636	-26.016
1874	8959	9	0.7718	56.062
6653	6814	9	0.8716	2.016
2013	8816	9	0.8315	-2.016
6652	6838	9	0.9057	-16.031
14208	14240	9	0.7445	-0.000
14200	14208	9	0.8609	0.000
1874	2013	9	0.9473	14.015
6652	6653	9	0.9288	26.016
8959	14234	9	0.8514	-30.047
14248	14254	9	0.8476	0.000
1874	14164	9	0.7525	82.078
2013	6653	9	0.8205	54.047
6653	6691	9	0.8518	-52.031
6653	14317	9	0.81	-68.063
14209	14317	9	0.8766	14.015
6691	14268	9	0.8467	-14.016
6652	14209	9	0.8686	-56.062
6838	14248	9	0.8539	-25.979
6636	14221	9	0.9322	54.047
3072	14248	9	0.8301	-27.995
9212	16763	10	0.8193	-120.042
5544	9785	10	0.8741	0.000
9462	16763	10	1.0	0.000
6643	9212	10	0.7037	48.021
3167	6873	10	0.7658	-90.023
1219	9785	10	0.7578	-162.052
31	13012	10	0.893	289.068
53	788	10	0.9619	-0.015
31	788	10	0.8004	180.048
6917	9816	10	0.9044	0.000
449	788	10	0.882	-199.052
53	3167	10	0.9234	199.028
6592	12196	10	0.7153	30.010
5544	6917	10	0.92	0.000
359	4406	10	0.7413	90.031
2687	12196	10	0.7144	-18.010
788	3868	10	0.9242	-23.001
10297	14901	10	0.7229	17.992
6592	9313	10	0.8209	-90.032
4403	12967	10	0.7927	-18.011
6289	9816	10	0.886	0.000
9785	9816	10	0.886	-0.000
4702	6742	10	0.7304	-42.010
6742	12196	10	0.8258	-18.011
3526	3868	10	0.8888	-222.044
706	1117	10	0.7454	20.028
6917	9785	10	0.8744	0.000
6873	13012	10	0.8858	-0.000
45	14901	10	0.8176	0.000
6582	6592	10	0.8234	90.032
31	234	10	0.8158	298.074
12196	16763	10	0.7748	-102.032
11283	16340	10	0.7611	0.000
3526	7930	10	0.9498	0.000
9313	12196	10	0.733	120.042
12967	14901	10	0.7248	17.992
69	4406	10	0.7778	-0.036
1389	9816	10	0.9277	-0.000
145	234	10	0.8417	460.127
788	6873	10	0.7453	109.020
6643	12196	10	0.7369	30.011
31	3526	10	0.7533	379.091
145	454	10	0.7694	18.011
6582	12196	10	0.7508	120.042
9212	9462	10	0.8193	-120.042
139	4649	10	0.8142	-23.017
365	10297	10	0.8118	-290.112
234	454	10	0.806	-442.116
234	788	10	0.7792	-118.026
11736	16618	10	0.7026	-0.000
234	449	10	0.7747	81.026
234	6873	10	0.7873	-9.006
6579	13012	10	0.7968	469.131
788	3167	10	0.9242	199.043
53	3526	10	0.9108	199.028
6582	6643	10	0.8202	90.031
449	3526	10	0.9219	-0.008
4412	11291	10	0.7073	64.052
9313	9462	10	0.8234	18.010
359	12967	10	0.8616	-290.076
1219	6917	10	0.7584	-162.052
6742	9212	10	0.9639	-0.000
6601	9785	10	0.7578	-162.052
9462	12196	10	0.7748	102.032
1219	5544	10	0.7777	-162.052
45	12967	10	0.7597	-17.992
6289	13087	10	0.8044	162.052
31	53	10	0.7863	180.063
359	13012	10	0.8098	1.007
3167	3526	10	0.9372	0.000
1389	6601	10	0.7617	162.052
6582	9313	10	0.9414	-0.000
1389	9462	10	0.7663	342.115
53	3868	10	0.9301	-23.016
10297	11773	10	0.8497	290.112
234	3526	10	0.7816	81.018
9816	13087	10	0.8305	162.052
4406	7930	10	0.7951	1.000
234	13012	10	0.8143	-9.006
6289	6917	10	0.8744	0.000
3526	13012	10	0.7725	-90.024
3886	11736	10	0.9258	-0.000
4403	10297	10	0.7898	-18.011
9212	16618	10	0.7008	-6.010
3167	4406	10	0.8099	-0.999
449	4406	10	0.7884	-1.008
4412	16618	10	0.7463	136.073
6643	9313	10	0.8074	-90.031
53	7930	10	0.9064	199.028
6601	9816	10	0.7831	-162.052
